Time,Inv 1 AC-Leistung (W)
27.11.2020,259.7798W
28.11.2020,1000.2202W
29.11.2020,2822.0266W
30.11.2020,3186.6018W
01.12.2020,2818.0361W
02.12.2020,717.1619W
03.12.2020,4.2277W
04.12.2020,39.3226W
05.12.2020,332.7843W
06.12.2020,97.1455W
07.12.2020,381.6019W
08.12.2020,190.3689W
09.12.2020,1.7629W
10.12.2020,238.5361W
11.12.2020,323.8058W
12.12.2020,210.9174W
13.12.2020,861.463W
14.12.2020,537.213W
15.12.2020,106.9519W
16.12.2020,155.451W
17.12.2020,130.0971W
18.12.2020,544.9143W
19.12.2020,109.6058W
20.12.2020,95.85W
21.12.2020,929.5185W
22.12.2020,589.0582W
23.12.2020,2063.312W
24.12.2020,444.5196W
25.12.2020,318.9208W
26.12.2020,2860.8918W
27.12.2020,914.0095W
28.12.2020,262.6122W
29.12.2020,1103.1333W
30.12.2020,1882.9346W
31.12.2020,2400.9363W
01.01.2021,2044.156W
02.01.2021,471.7981W
03.01.2021,337.6075W
04.01.2021,176.3962W
05.01.2021,2208.5464W
06.01.2021,276.8447W
07.01.2021,2426.0544W
08.01.2021,1571.321W
09.01.2021,3006.8125W
10.01.2021,269.2095W
11.01.2021,2419.9438W
12.01.2021,1538.7947W
13.01.2021,3089.4138W
14.01.2021,3064.1194W
15.01.2021,2558.4695W
16.01.2021,1468.7106W
17.01.2021,2452.4106W
18.01.2021,1092.5259W
19.01.2021,1275.9108W
20.01.2021,3448.1025W
21.01.2021,1171.4425W
22.01.2021,2114.3186W
23.01.2021,279.2832W
24.01.2021,1335.6577W
25.01.2021,2543.874W
26.01.2021,2337.7966W
27.01.2021,2668.3916W
28.01.2021,1676.9269W
29.01.2021,700.4655W
30.01.2021,2657.9917W
31.01.2021,218.4464W
01.02.2021,2795.8689W
02.02.2021,3067.366W
03.02.2021,1573.4471W
04.02.2021,3816.8479W
05.02.2021,2702.448W
06.02.2021,2474.252W
07.02.2021,1342.0164W
08.02.2021,197.2414W
09.02.2021,333.6859W
10.02.2021,436.8824W
11.02.2021,4144.2539W
12.02.2021,2738.1628W
13.02.2021,3853.7344W
14.02.2021,4434.9922W
15.02.2021,4441.8384W
16.02.2021,3091.0542W
17.02.2021,2809.7307W
