Time,Inv 1 AC-Leistung (W)
2020-12-24,444.5196W
2020-12-25,318.9208W
2020-12-26,2860.8918W
2020-12-27,914.0095W
2020-12-28,262.6122W
2020-12-29,1103.1333W
2020-12-30,1882.9346W
2020-12-31,2400.9363W
2021-01-01,2044.156W
2021-01-02,471.7981W
2021-01-03,337.6075W
2021-01-04,176.3962W
2021-01-05,2208.5464W
2021-01-06,276.8447W
2021-01-07,2426.0544W
2021-01-08,1571.321W
2021-01-09,3006.8125W
2021-01-10,269.2095W
2021-01-11,2419.9438W
2021-01-12,1538.7947W
2021-01-13,3089.4138W
2021-01-14,3064.1194W
2021-01-15,2558.4695W
2021-01-16,1468.7106W
2021-01-17,2452.4106W
2021-01-18,1092.5259W
2021-01-19,1275.9108W
2021-01-20,3448.1025W
2021-01-21,1171.4425W
2021-01-22,2114.3186W
2021-01-23,279.2832W
2021-01-24,1335.6577W
2021-01-25,2543.874W
2021-01-26,2337.7966W
2021-01-27,2668.3916W
2021-01-28,1676.9269W
2021-01-29,700.4655W
2021-01-30,2657.9917W
2021-01-31,218.4464W
2021-02-01,2795.8689W
2021-02-02,3067.366W
2021-02-03,1573.4471W
2021-02-04,3816.8479W
2021-02-05,2702.448W
2021-02-06,2474.252W
2021-02-07,1342.0164W
2021-02-08,197.2414W
2021-02-09,333.6859W
2021-02-10,436.8824W
2021-02-11,4144.2539W
2021-02-12,2738.1628W
2021-02-13,3853.7344W
2021-02-14,4434.9922W
2021-02-15,4441.8384W
2021-02-16,3091.0542W
2021-02-17,2809.7307W
2021-02-18,4139.6338W
2021-02-19,3315.0903W
2021-02-20,3672.8359W
2021-02-21,1102.7727W
2021-02-22,4075.8308W
2021-02-23,3801.9482W
2021-02-24,3319.5474W
2021-02-25,3611.9927W
2021-02-26,4078.6233W
2021-02-27,4026.554W
2021-02-28,4408.2734W
2021-03-01,4305.688W
2021-03-02,4409.9502W
2021-03-03,4219.3213W
2021-03-04,1940.4316W
2021-03-05,1851.8248W
2021-03-06,4613.2432W
2021-03-07,4595.373W
2021-03-08,3388.3901W
2021-03-09,1228.7676W
2021-03-10,2480.8428W
2021-03-11,1102.4653W
2021-03-12,3019.1328W
2021-03-13,3111.7688W
2021-03-14,398.0142W
2021-03-15,3801.4082W
2021-03-16,3513.6846W
2021-03-17,3665.2954W
2021-03-18,2301.7666W
2021-03-19,3000.592W
2021-03-20,613.3586W
2021-03-21,1152.6345W
2021-03-22,3622.9805W
2021-03-23,3318.8694W
2021-03-24,4590.1621W
2021-03-25,4469.5259W
2021-03-26,4353.6025W
2021-03-27,3870.9934W
2021-03-28,1680.4204W
2021-03-29,3591.4646W
2021-03-30,4201.9175W
2021-03-31,4305.1636W
2021-04-01,4075.2913W
2021-04-02,1800.5477W
2021-04-03,3327.0505W
2021-04-04,3559.5962W
2021-04-05,4171.4844W
2021-04-06,1973.7925W
2021-04-07,2559.2666W
2021-04-08,3518.9753W
2021-04-09,4427.6909W
2021-04-10,3456.7439W
2021-04-11,2428.7976W
2021-04-12,1794.7222W
2021-04-13,674.0671W
2021-04-14,3363.4492W
2021-04-15,3382.0W
2021-04-16,4055.8511W
2021-04-17,2374.9277W
2021-04-18,1087.0123W
2021-04-19,1436.8225W
2021-04-20,2543.8362W
2021-04-21,3267.3896W
2021-04-22,2784.3872W
2021-04-23,4392.2344W
2021-04-24,4276.8564W
2021-04-25,2761.1658W
2021-04-26,1110.5909W
2021-04-27,468.8057W
2021-04-28,1326.1578W
2021-04-29,3583.2146W
2021-04-30,1481.954W
2021-05-01,3358.5593W
2021-05-02,1739.5739W
2021-05-03,2652.0056W
2021-05-04,3885.7666W
2021-05-05,2813.9214W
2021-05-06,1518.0837W
2021-05-07,734.8033W
2021-05-08,4274.1265W
2021-05-09,4131.6611W
2021-05-10,3812.1086W
2021-05-11,3889.5869W
2021-05-12,1196.4254W
2021-05-13,2054.0327W
2021-05-14,2481.1055W
2021-05-15,2162.3169W
2021-05-16,2999.7568W
2021-05-17,1696.067W
2021-05-18,2911.8181W
2021-05-19,1232.5109W
2021-05-20,3826.9038W
2021-05-21,2847.9788W
2021-05-22,823.4706W
2021-05-23,1388.766W
2021-05-24,592.5297W
2021-05-25,579.7396W
2021-05-26,3953.0522W
2021-05-27,1945.9215W
2021-05-28,2992.3926W
2021-05-29,2543.1614W
2021-05-30,2221.9426W
2021-05-31,2252.2009W
2021-06-01,3220.134W
2021-06-02,3194.3042W
2021-06-03,2967.9226W
2021-06-04,3368.6104W
2021-06-05,2858.7473W
2021-06-06,1018.7629W
2021-06-07,2136.9282W
2021-06-08,3364.5847W
2021-06-09,2558.3743W
2021-06-10,2029.366W
2021-06-11,2330.0623W
2021-06-12,2494.5178W
2021-06-13,3338.2063W
2021-06-14,3780.4111W
2021-06-15,3547.6821W
2021-06-16,3381.5796W
2021-06-17,3454.9949W
2021-06-18,3056.2041W
2021-06-19,2735.1633W
2021-06-20,2759.7527W
2021-06-21,3270.6907W
2021-06-22,3239.9031W
